Site,Status,Tempo,Elemento_OK,Hora
LinkedIn,200,0.35244250297546387,False,2025-08-21 11:30:38
Amazon,503,0.18350863456726074,True,2025-08-21 11:30:45
Globo,200,0.1669323444366455,False,2025-08-21 11:30:46
Teste 404,Erro,,False,2025-08-21 11:30:57
Teste 500,Erro,,False,2025-08-21 11:30:57
Teste 301,200,0.2571232318878174,False,2025-08-21 11:30:57
Teste 403,Erro,,False,2025-08-21 11:30:58
Google,200,0.18892765045166016,False,2025-08-21 11:31:58
LinkedIn,200,0.3711130619049072,False,2025-08-21 11:32:04
Amazon,503,0.21052241325378418,True,2025-08-21 11:32:10
Globo,200,0.18480968475341797,False,2025-08-21 11:32:12
Teste 404,Erro,,False,2025-08-21 11:32:21
Teste 500,Erro,,False,2025-08-21 11:32:21
Teste 301,200,0.2039649486541748,False,2025-08-21 11:32:21
Teste 403,Erro,,False,2025-08-21 11:32:22
Google,200,0.26865363121032715,False,2025-08-21 11:33:22
LinkedIn,200,0.8357691764831543,False,2025-08-21 11:33:28
Amazon,503,0.19631528854370117,True,2025-08-21 11:33:35
Globo,200,0.09625244140625,False,2025-08-21 11:33:37
Teste 404,Erro,,False,2025-08-21 11:33:47
Teste 500,Erro,,False,2025-08-21 11:33:47
Teste 301,200,0.3643791675567627,False,2025-08-21 11:33:48
Teste 403,Erro,,False,2025-08-21 11:33:48
Google,200,0.2058885097503662,False,2025-08-21 11:34:48
LinkedIn,200,0.42403626441955566,False,2025-08-21 11:34:54
Amazon,503,0.18793344497680664,True,2025-08-21 11:35:01
Globo,200,0.10595083236694336,False,2025-08-21 11:35:02
Teste 404,Erro,,False,2025-08-21 11:35:12
Teste 500,Erro,,False,2025-08-21 11:35:13
Teste 301,200,0.19809985160827637,False,2025-08-21 11:35:13
Teste 403,Erro,,False,2025-08-21 11:35:13
Google,200,0.26592230796813965,False,2025-08-21 11:36:14
LinkedIn,200,0.2761216163635254,False,2025-08-21 11:36:20
Amazon,503,0.18349814414978027,True,2025-08-21 11:36:26
Globo,200,0.2261803150177002,False,2025-08-21 11:36:28
Teste 404,Erro,,False,2025-08-21 11:36:42
Teste 500,Erro,,False,2025-08-21 11:36:43
Teste 301,200,0.25148582458496094,False,2025-08-21 11:36:43
Teste 403,Erro,,False,2025-08-21 11:36:43
Google,200,0.1852893829345703,False,2025-08-21 11:37:43
